,Artist,Rating,Song,Year
31,No Doubt feat. Bounty Killer,32,Hey Baby,2002
32,‘N Sync feat. Nelly,33,Girlfriend,2002
33,Mario,34,Just a Friend 2002,2002
34,Sheryl Crow,35,Soak up the Sun,2002
35,Pink,36,Don’t Let Me Get Me,2002
36,N.O.R.E.,37,Nothin’,2002
37,Tweet,38,Oops (Oh My),2002
38,Kelly Clarkson,39,A Moment Like This,2002
39,Truth Hurts feat. Rakim,40,Addictive,2002
40,Ashanti,41,Happy,2002
41,John Mayer,42,No Such Thing,2002
42,Pink,43,Just Like a Pill,2002
43,"Irv Gotti Presents The Inc. feat. Ja Rule, Ashanti, Charli Baltimore and Vita",44,Down 4 U,2002
44,Kylie Minogue,45,Can’t Get You Out Of My Head,2002
45,Five For Fighting,46,Superman (It’s not Easy),2002
46,Eminem,47,Cleanin’ out my Closet,2002
47,Musiq,48,Halfcrazy,2002
48,Mr. Cheeks,49,"Lights, Camera, Action!",2002
49,Big Tymers,50,Still Fly,2002
50,Alicia Keys,51,A Woman’s Worth,2002
51,Craig David,52,7 Days,2002
52,"Cam’ron feat. Juelz Santana, Freekey Zekey and Toya",53,Hey Ma,2002
53,Missy “Misdemeanor” Elliott,54,Work It,2002
54,Ludacris feat. Mystikal and Infamous 2.0,55,Move Bitch,2002
55,LeAnn Rimes,56,Can’t Fight the Moonlight,2002
56,Enrique Iglesias,57,Escape,2002
57,Aaliyah,58,More than a Woman,2002
58,No Doubt,59,Hello Good,2002
59,Faith Evans,60,I Love You,2002
60,Daniel Bedingfield,61,Gotta Get Thru This,2002
61,Busta Rhymes feat. P. Diddy and Pharrell,62,Pass the Courvoisier Part II,2002
62,Eminem,63,Lose Yourself,2002
63,Michael Jackson,64,Butterflies,2002
64,Brandy,65,What About Us?,2002
65,Shakira,66,Underneath your Clothes,2002
66,Mary J. Blige feat. Ja Rule,67,Rainy Dayz,2002
67,Ginuwine,68,Differences,2002
68,Angie Martinez feat. Lil’ Mo and Sacario,69,If I could Go!,2002
69,OutKast feat. Killer Mike,70,The Whole World,2002
70,No Doubt feat. Lady Saw,71,Underneath it All,2002
71,City High feat. Eve,72,Caramel,2002
72,LL Cool J,73,Luv U Better,2002
73,Sean Paul,74,Gimme the Light,2002
74,‘N Sync,75,Gone,2002
75,Ja Rule feat. Case,76,Livin’ it Up,2002
76,Ludacris,77,Roll Out (My Business),2002
77,Goo Goo Dolls,78,Here is Gone,2002
78,Mary J. Blige,79,No More Drama,2002
79,Dirty Vegas,80,Days go By,2002
80,Ashanti,81,Baby,2002
81,Kenny Chesney,82,The Good Stuff,2002
82,Fat Joe feat. R. Kelly,83,We Thuggin’,2002
83,Steve Holy,84,Good Morning Beautiful,2002
84,Aaliyah,85,Rock the Boat,2002
85,Alan Jackson,86,Drive (For Daddy Gene),2002
86,Jewel,87,Standing Still,2002
87,Jaheim feat. Next,88,Anything,2002
88,Brandy,89,Full Moon,2002
89,B2K,90,Uh Huh,2002
90,Celine Dion,91,A New Day has Come,2002
91,Nelly Furtado,92,Turn Off the Light,2002
92,George Strait,93,Living and Living Well,2002
93,Toby Keith,94,My List,2002
94,Alanis Morissette,95,Hands Clean,2002
95,Avril Lavigne,96,Sk8er Boi,2002
96,Dixie Chicks,97,Long Time Gone,2002
97,Alan Jackson,98,Where Were You (When the World Stopped Turning),2002
98,Justin Timberlake,99,Like I Love You,2002
99,Toya,100,I Do!!,2002
0,50 Cent,1,In Da Club,2003
1,R. Kelly,2,Ignition,2003
2,Sean Paul,3,Get Busy,2003
3,Beyonce feat. Jay-Z,4,Crazy in Love,2003
4,3 Doors Down,5,When I’m Gone,2003
5,matchbox twenty,6,Unwell,2003
6,Chingy,7,Right Thurr,2003
7,Aaliyah,8,Miss You,2003
8,Kid Rock feat. Sheryl Crow,9,Picture,2003
9,Evanescence feat. Paul McCoy,10,Bring me to Life,2003
10,Lil Jon and The East Side Boyz feat. Ying Yang Twins,11,Get Low,2003
11,Beyonce feat. Sean Paul,12,Baby Boy,2003
12,"Nelly, P. Diddy and Murphy Lee",13,Shake ya Tailfeather,2003
13,50 Cent feat. Nate Dogg,14,21 Questions,2003
14,Jennifer Lopez feat. LL Cool J,15,All I Have,2003
15,Christina Aguilera,16,Beautiful,2003
16,Busta Rhymes and Mariah Carey feat. The Flipmode Squad,17,I Know what you Want,2003
17,Avril Lavigne,18,I’m with You,2003
18,Uncle Kracker feat. Dobie Gray,19,Drift Away,2003
19,Lil’ Kim feat. 50 Cent,20,Magic Stick,2003
20,50 Cent,21,P.I.M.P.,2003
21,B2K and P. Diddy,22,"Bump, Bump, Bump",2003
22,Fabolous feat. Tamia Or Ashanti,23,Into You,2003
23,Fabolous feat. Mike Shorey and Lil’ Mo,24,Can’t let you Go,2003
24,Ja Rule feat. Ashanti,25,Mesmerize,2003
25,Black Eyed Peas,26,Where is the Love?,2003
26,Santana feat. Michelle Branch,27,The Game of Love,2003
27,Eminem,28,Lose Yourself,2003
28,Ashanti,29,Rock wit U (Awww Baby),2003
29,Justin Timberlake,30,Cry me a River,2003
30,Tyrese,31,How you Gonna Act Like That,2003
31,Justin Timberlake,32,Rock your Body,2003
32,Wayne Wonder,33,No Letting Go,2003
33,Pharrell feat. Jay-Z,34,Frontin’,2003
34,Dixie Chicks,35,Landslide,2003
35,Missy “Misdemeanor” Elliott,36,Work It,2003
36,Jay-Z feat. Beyonce Knowles,37,’03 Bonnie & Clyde,2003
37,Nivea feat. Brian and Brandon Casey,38,Don’t Mess with my Man,2003
38,Monica,39,So Gone,2003
39,"Nelly feat. Kyjuan, Ali and Murphy Lee",40,Air Force Ones,2003
40,Lumidee,41,"Never Leave You – Uh Ooh, Uh Oooh!",2003
41,Snoop Dogg feat. Pharrell and Uncle Charlie Wilson,42,Beautiful,2003
42,Missy “Misdemeanor” Elliott feat. Ludacris,43,Gossip Folks,2003
43,Kelly Clarkson,44,Miss Independent,2003
44,Train,45,Calling All Angels,2003
45,YoungBloodZ feat. Lil Jon,46,Damn!,2003
46,Clay Aiken,47,This is the Night,2003
47,John Mayer,48,Your Body is a Wonderland,2003
48,Trapt,49,Headstrong,2003
49,Ginuwine,50,In those Jeans,2003
50,Ludacris feat. Shawnna,51,Stand Up,2003
51,Jason Mraz,52,The Remedy (I won’t Worry),2003
52,Santana feat. Alex Band Or Chad Kroeger,53,Why Don’t You & I,2003
53,Jay-Z,54,Excuse Me Miss,2003
54,Jennifer Lopez feat. Styles and Jadakiss,55,Jenny from the Block,2003
55,Michelle Branch,56,Are you Happy Now?,2003
56,Shania Twain,57,Forever and for Always,2003
57,Nas,58,I Can,2003
58,No Doubt feat. Lady Saw,59,Underneath it All,2003
59,Daniel Bedingfield,60,If you’re not the One,2003
60,R. Kelly,61,Thoia Thoing,2003
61,3 Doors Down,62,Here without You,2003
62,50 Cent,63,Wanksta,2003
63,Mya,64,My Love is Like… Wo,2003
64,Alan Jackson and Jimmy Buffett,65,It’s Five O’Clock Somewhere,2003
65,Sean Paul,66,Like Glue,2003
66,Christina Aguilera feat. Lil’ Kim,67,Can’t Hold us Down,2003
67,Lonestar,68,My Front Porch Looking In,2003
68,Amanda Perez,69,Angel,2003
69,Puddle Of Mudd,70,She Hates Me,2003
70,Frankie J,71,Don’t Wanna Try,2003
71,Lil’ Kim feat. Mr. Cheeks,72,The Jump Off,2003
72,Jewel,73,Intuition,2003
73,Ginuwine feat. Baby,74,Hell Yeah,2003
74,Toby Keith Duet With Willie Nelson,75,Beer for my Horses,2003
75,Chingy feat. Ludacris and Snoop Dogg,76,Holidae In,2003
76,Baby Bash feat. Frankie J,77,Suga Suga,2003
77,Erykah Badu feat. Common,78,Love of my Life (An Ode to Hip Hop),2003
78,Christina Aguilera,79,Fighter,2003
79,2Pac,80,Thugz Mansion,2003
80,Coldplay,81,Clocks,2003
81,Jaheim,82,Put that Woman First,2003
82,Ashanti,83,Rain on Me,2003
83,Mark Wills,84,19 Somethin’,2003
84,Young Gunz,85,"Can’t Stop, Won’t Stop",2003
85,Brooks and Dunn,86,Red Dirt Road,2003
86,Dierks Bentley,87,What was I Thinkin’,2003
87,Ruben Studdard,88,Flying without Wings,2003
88,Eminem,89,Sing for the Moment,2003
89,Darryl Worley,90,Have you Forgotten?,2003
90,Kenny Chesney,91,"No Shoes, No Shirt, No Problems",2003
91,Aaliyah,92,Come Over,2003
92,Field Mob,93,Sick of Being Lonely,2003
93,R. Kelly,94,Step in the Name of Love,2003
94,Thalia feat. Fat Joe,95,I Want You,2003
95,Audioslave,96,Like a Stone,2003
96,Norah Jones,97,Don’t know Why,2003
97,Eminem,98,Superman,2003
98,Tim McGraw,99,Real Good Man,2003
99,Floetry,100,Say Yes,2003
0,Usher feat. Lil Jon and Ludacris,1,Yeah!,2004
1,Usher,2,Burn,2004
2,Alicia Keys,3,If I Ain’t Got You,2004
3,Maroon5,4,This Love,2004
4,OutKast feat. Sleepy Brown,5,The Way You Move,2004
5,Hoobastank,6,The Reason,2004
6,Mario Winans feat. Enya and P. Diddy,7,I Don’t Wanna Know,2004
7,OutKast,8,Hey Ya!,2004
8,Ciara feat. Petey Pablo,9,Goodies,2004
9,Terror Squad,10,Lean Back,2004
10,J-Kwon,11,Tipsy,2004
11,Usher,12,Confessions Part II,2004
12,Juvenile feat. Soulja Slim,13,Slow Motion,2004
13,Petey Pablo,14,Freek-a-Leek,2004
14,3 Doors Down,15,Here Without You,2004
15,Twista feat. Kanye West and Jamie Foxx,16,Slow Jamz,2004
16,Nickelback,17,Someday,2004
17,Beyonce,18,Naughty Girl,2004
18,Evanescence,19,My Immortal,2004
19,Lil’ Flip feat. Lea,20,Sunshine,2004
20,Jay-Z,21,Dirt Off Your Shoulder,2004
21,Nina Sky feat. Jabba,22,Move Ya Body,2004
22,Christina Milian,23,Dip It Low,2004
23,Usher And Alicia Keys,24,My Boo,2004
24,Chingy feat. J. Weav,25,One Call Away,2004
25,Beyonce,26,"Me, Myself, and I",2004
26,Kevin Lyttle feat. Spragga Benz,27,Turn Me On,2004
27,Sheryl Crow,28,The First Cut Is The Deepest,2004
28,Alicia Keys,29,You Don’t Know My Name,2004
29,Nelly feat. Jaheim,30,My Place,2004
30,Twista,31,Overnight Celebrity,2004
31,Cassidy feat. R. Kelly,32,Hotel,2004
32,Linkin Park,33,Numb,2004
33,Alicia Keys feat. Tony! Toni! Tone!,34,Diary,2004
34,Maroon 5,35,She Will be Loved,2004
35,Dido,36,White Flag,2004
36,Los Lonely Boys,37,Heaven,2004
37,No Doubt,38,It’s My Life,2004
38,Ashlee Simpson,39,Pieces of Me,2004
39,JoJo,40,Leave (Get Out),2004
40,Kelis,41,Milkshake,2004
41,Ludacris,42,Splash Waterfalls,2004
42,Kanye West,43,Jesus Walks,2004
43,Akon feat. Styles P.,44,Locked Up,2004
44,Ludacris feat. Shawnna,45,Stand Up,2004
45,Baby Bash feat. Frankie J,46,Suga Suga,2004
46,Kanye West feat. Syleena Johnson,47,All Falls Down,2004
47,Britney Spears,48,Toxic,2004
48,Ying Yang Twins feat. Lil Jon and The East Side Boyz,49,Salt Shaker,2004
49,Jessica Simpson,50,With You,2004
50,Switchfoot,51,Meant to Live,2004
51,"Houston feat. Chingy, Nate Dogg and I-20",52,I Like That,2004
52,Ruben Studdard,53,Sorry 2004,2004
53,Avril Lavigne,54,My Happy Ending,2004
54,Lloyd Banks,55,On Fire,2004
55,OutKast,56,Roses,2004
56,Jagged Edge,57,Walker outta Heaven,2004
57,Destiny’s Child,58,Lose My Breath,2004
58,D12,59,My Band,2004
59,Sean Paul feat. Sasha,60,I’m Still in Love with You,2004
60,Kanye West,61,Through the Wire,2004
61,Jadakiss feat. Anthony Hamilton,62,Why?,2004
62,Eamon,63,F**k It (I Don’t Want you Back),2004
63,Avant,64,Read your Mind,2004
64,Lil’ Flip,65,Game Over (Flip),2004
65,Finger Eleven,66,One Thing,2004
66,LL Cool J,67,Headsprung,2004
67,YoungBloodZ feat. Lil Jon,68,Damn!,2004
68,Beyonce feat. Sean Paul,69,Baby Boy,2004
69,Lil Jon and The East Side Boyz feat. Ying Yang Twins,70,Get Low,2004
70,Snoop Dogg feat. Pharrell,71,Drop it Like it’s Hot,2004
71,Monica,72,U Should’ve Known Better,2004
72,Ryan Cabrera,73,On the Way Down,2004
73,Kelly Clarkson,74,Breakaway,2004
74,Santana feat. Alex Band Or Chad Kroeger,75,Why Don’t you & I,2004
75,Jet,76,Are You Gonna Be My Girl,2004
76,Five For Fighting,77,100 Years,2004
77,R. Kelly,78,Step In The Name Of Love,2004
78,Linkin Park,79,Breaking the Habit,2004
79,Nick Cannon feat. R. Kelly,80,Gigolo,2004
80,Tim McGraw,81,Live Like You Were Dying,2004
81,Alan Jackson,82,Remember When,2004
82,Britney Spears,83,Everytime,2004
83,Lloyd feat. Ashanti,84,Southside,2004
84,Beenie Man feat. Ms. Thing,85,Dude,2004
85,G-Unit feat. Joe,86,Wanna Get To Know You,2004
86,Chingy feat. Ludacris and Snoop Dogg,87,Holidae In,2004
87,Black Eyed Peas,88,Let’s Get It Started,2004
88,Kenny Chesney and Uncle Kracker,89,When the Sun Goes Down,2004
89,Toby Keith,90,American Soldier,2004
90,Jay-Z,91,Change Clothes,2004
91,Avril Lavigne,92,Don’t Tell Me,2004
92,Keith Urban,93,You’ll Think of Me,2004
93,R. Kelly,94,Happy People,2004
94,Black Eyed Peas,95,Hey Mama,2004
95,Nelly feat. Tim McGraw,96,Over and Over,2004
96,Gretchen Wilson,97,Redneck Woman,2004
97,Eminem,98,Just Lose It,2004
98,John Michael Montgomery,99,Letters from Home,2004
99,Kenny Chesney,100,I Go Back,2004
0,Mariah Carey,1,We Belong Together,2005
1,Gwen Stefani,2,Hollaback Girl,2005
2,Mario,3,Let Me Love You,2005
3,Kelly Clarkson,4,Since U Been Gone,2005
4,Ciara feat. Missy Elliott,5,"1, 2 Step",2005
5,Kanye West feat. Jamie Foxx,6,Gold Digger,2005
6,Green Day,7,Boulevard of Broken Dreams,2005
7,50 Cent feat. Olivia,8,Candy Shop,2005
8,The Pussycat Dolls feat. Busta Rhymes,9,Don’t Cha,2005
9,Kelly Clarkson,10,Behind These Hazel Eyes,2005
10,50 Cent,11,Disco Inferno,2005
11,Lifehouse,12,You and Me,2005
12,The Black Eyed Peas,13,Don’t Phunk With My Heart,2005
13,Missy Elliott feat. Ciara and Fat Man Scoop,14,Lose Control,2005
14,Mariah Carey,15,Shake it Off,2005
15,The Killers,16,Mr. Brightside,2005
16,50 Cent,17,Just a Lil Bit,2005
17,Rihanna,18,Pon de Replay,2005
18,The Game feat. 50 Cent,19,How We Do,2005
19,Weezer,20,Beverly Hills,2005
20,Ciara feat. Ludacris,21,Oh,2005
21,Rob Thomas,22,Lonely No More,2005
22,Snoop Dogg feat. Pharrell,23,Drop it Like It’s Hot,2005
23,The Game feat. 50 Cent,24,Hate It or Love It,2005
24,Lil Jon and The East Side Boyz feat. Usher and Ludacris,25,Lovers and Friends,2005
25,Destiny’s Child feat. T.I. and Lil Wayne,26,Soldier,2005
26,Kelly Clarkson,27,Breakaway,2005
27,Will Smith,28,Switch,2005
28,Bow Wow feat. Omarion,29,Let Me HOld You,2005
29,Bow Wow feat. Ciara,30,Like You,2005
30,Gwen Stefani feat. Eve,31,Rich Girl,2005
31,The Black Eyed Peas,32,My Humps,2005
32,Frankie J feat. Baby Bash,33,Obsession (No Es Amor),2005
33,Usher,34,Caught Up,2005
34,D.H.T.,35,Listen to your Heart,2005
35,Papa Roach,36,Scars,2005
36,Gorillaz,37,Feel Good Inc,2005
37,3 Doors Down,38,Let Me Go,2005
38,Green Day,39,Holiday,2005
39,Fall Out Boy,40,"Sugar, we’re Goin’ Down",2005
40,Pretty Ricky,41,Grind With Me,2005
41,Chris Brown,42,Run It!,2005
42,Nickelback,43,Photograph,2005
43,Akon,44,Lonely,2005
44,Howie Day,45,Collide,2005
45,Green Day,46,Wake Me up When September Ends,2005
46,Bobby Valentino,47,Slow Down,2005
47,Nelly feat. Tim McGraw,48,Over and Over,2005
48,Trillville feat. Cutty,49,Some Cut,2005
49,Fat Joe feat. Nelly,50,Get it Poppin’,2005
50,David Banner,51,Play,2005
51,Young Jeezy feat. Akon,52,Soul Survivor,2005
52,Ludacris feat. Bobby Valentino,53,Pimpin’ All Over the World,2005
53,Usher And Alicia Keys,54,My Boo,2005
54,"Trick Daddy feat. Ludacris, Lil’ Kim and Cee-Lo",55,Sugar (Gimme Some),2005
55,Alicia Keys,56,Karma,2005
56,Coldplay,57,Speed of Sound,2005
57,Gavin DeGraw,58,I Don’t Want to Be,2005
58,Eminem,59,Mockingbird,2005
59,Shakira feat. Alejandro Sanz,60,La Tortura,2005
60,Maroon5,61,She Will be Loved,2005
61,Baby Bash feat. Akon,62,Baby I’m Back,2005
62,Ying Yang Twins,63,Wait (The Whisper Song),2005
63,Backstreet Boys,64,Incomplete,2005
64,T.I.,65,Bring em Out,2005
65,Destiny’s Child,66,Cater 2 U,2005
66,Amerie,67,1 Thing,2005
67,Foo Fighters,68,Best of You,2005
68,Mariah Carey,69,It’s Like That,2005
69,Natalie,70,Goin’ Crazy,2005
70,Carrie Underwood,71,Inside your Heaven,2005
71,Kelly Clarkson,72,Because of You,2005
72,Fantasia,73,Truth Is,2005
73,Pretty Ricky,74,Your Body,2005
74,Jesse McCartney,75,Beautiful Soul,2005
75,Gwen Stefani,76,Cool,2005
76,Ludacris,77,Get Back,2005
77,50 Cent feat. Mobb Deep,78,Outta Control (Remix),2005
78,T.I.,79,U Don’t Know Me,2005
79,Natasha Bedingfield,80,These Words,2005
80,The Black Eyed Peas,81,Don’t Lie,2005
81,Jennifer Lopez,82,Get Right,2005
82,John Mayer,83,Daughters,2005
83,Toby Keith,84,As Good as I Once Was,2005
84,Brooke Valentine feat. Lil Jon and Big Boi,85,Girlfight,2005
85,Destiny’s Child,86,Lose My Breath,2005
86,John Legend,87,Ordinary People,2005
87,Sean Paul,88,We Be Burnin’,2005
88,The Click Five,89,Just the Girl,2005
89,Ryan Cabrera,90,True,2005
90,Omarion,91,O,2005
91,Mike Jones,92,Back Then,2005
92,Jay-Z/Linkin Park,93,Numb/Encore,2005
93,Ja Rule feat. R. Kelly and Ashanti,94,Wonderful,2005
94,T-Pain,95,I’m Sprung,2005
95,Gavin DeGraw,96,Chariot,2005
96,112 feat. Foxy Brown,97,U Already Know,2005
97,Faith Hill,98,Mississippi Girl,2005
98,Ludacris,99,Number One Spot,2005
99,Webbie feat. Bun B,100,Give Me That,2005
0,Daniel Powter,1,Bad Day,2006
1,Sean Paul,2,Temperature,2006
2,Nelly Furtado feat. Timbaland,3,Promiscuous,2006
3,James Blunt,4,You’re Beautiful,2006
4,Shakira feat. Wyclef Jean,5,Hips Don’t Lie,2006
5,Natasha Bedingfield,6,Unwritten,2006
6,Gnarls Barkley,7,Crazy,2006
7,Chamillionaire feat. Krayzie Bone,8,Ridin’,2006
8,Justin Timberlake,9,Sexyback,2006
9,Beyonce feat. Slim Thug,10,Check on It,2006
10,Mary J. Blige,11,Be without You,2006
11,"Nelly feat. Paul Wall, Ali and Gipp",12,Grillz,2006
12,The Fray,13,Over My Head (Cable Car),2006
13,Cassie,14,Me & U,2006
14,The Pussycat Dolls feat. Snoop Dogg,15,Buttons,2006
15,Chris Brown,16,Run It!,2006
16,Ne-Yo,17,So Sick,2006
17,Yung Joc,18,It’s Goin’ Down,2006
18,Rihanna,19,SOS,2006
19,Panic! At The Disco,20,I Write Sins not Tragedies,2006
20,The All-American Rejects,21,Move Along,2006
21,Fergie,22,London Bridge,2006
22,Red Hot Chili Peppers,23,Dani California,2006
23,Lil Jon feat. E-40 and Sean Paul Of The YoungBloodZ,24,Snap Yo Fingers,2006
24,Dem Franchize Boyz feat. Lil Peanut and Charlay,25,"Lean Wit It, Rock Wit It",2006
25,Rascal Flatts,26,What Hurts the Most,2006
26,The Fray,27,How to Save a Life,2006
27,Rihanna,28,Unfaithful,2006
28,Snow Patrol,29,Chasing Cars,2006
29,Hinder,30,Lips of an Angel,2006
30,Cascada,31,Everytime We Touch,2006
31,Christina Aguilera,32,Ain’t no Other Man,2006
32,Fall Out Boy,33,"Dance, Dance",2006
33,Kanye West feat. Jamie Foxx,34,Gold Digger,2006
34,Ludacris feat. Pharrell,35,Money Maker,2006
35,Bubba Sparxxx feat. Ying Yang Twins and Mr. ColliPark,36,Ms. New Booty,2006
36,Sean Paul feat. Keyshia Cole,37,(When You Gonna) Give It Up To Me,2006
37,Nickelback,38,Photograph,2006
38,Kelly Clarkson,39,Because of You,2006
39,The Pussycat Dolls,40,Stickwitu,2006
40,T-Pain feat. Mike Jones,41,I’n N Luv (Wit a Stripper),2006
41,The Black Eyed Peas,42,My Humps,2006
42,Fort Minor feat. Holly Brook,43,Where’d You Go,2006
43,Chris Brown,44,Yo (Excuse Me Miss),2006
44,Kelly Clarkson,45,Walk Away,2006
45,D4L,46,Laffy Taffy,2006
46,T.I.,47,What you Know,2006
47,The All-American Rejects,48,Dirty Little Secret,2006
48,Nickelback,49,Savin’ Me,2006
49,Mariah Carey,50,Don’t Forget About Us,2006
50,Ne-Yo,51,Sexy Love,2006
51,E-40 feat. T-Pain and Kandi Girl,52,U and Dat,2006
52,Nickelback,53,Far Away,2006
53,Nick Lachey,54,What’s Left of Me,2006
54,Field Mob feat. Ciara,55,So What,2006
55,Cherish feat. Sean Paul Of The YoungBloodZ,56,Do it to It,2006
56,KT Tunstall,57,Black Horse & the Cherry Tree,2006
57,Juelz Santana,58,There it Go! (The Whistle Song),2006
58,Young Dro feat. T.I.,59,Shoulder Lean!,2006
59,Jamie Foxx feat. Ludacris,60,Unpredictable,2006
60,Justin Timberlake feat. T.I.,61,My Love,2006
61,Eminem feat. Nate Dogg,62,Shake That,2006
62,Chingy feat. Tyrese,63,Pullin’ Me Back,2006
63,Kelis feat. Too $hort,64,Bossy,2006
64,Jibbs,65,Chain Hang Low,2006
65,Akon feat. Eminem,66,Smack That,2006
66,Ray J,67,One Wish,2006
67,Fall Out Boy,68,Sugar We’re Goin’ Down,2006
68,Chris Brown feat. Lil’ Wayne,69,Gimme That,2006
69,Yung Joc feat. Brandy ‘Ms. B.’ Hambrick,70,I Know You See It,2006
70,Bon Jovi,71,Who Says you can’t Go Home,2006
71,JoJo,72,Too Little Too Late,2006
72,Busta Rhymes,73,Touch It,2006
73,Daddy Yankee,74,Rompe,2006
74,Beyonce feat. Jay-Z,75,Deja Vu,2006
75,Rascal Flatts,76,Life is a Highway,2006
76,Evanescence,77,Call me When You’re Sober,2006
77,Carrie Underwood,78,"Jesus, take the Wheel",2006
78,Danity Kane,79,Show Stopper,2006
79,Ciara feat. Chamillionaire,80,Get Up,2006
80,Sean Paul,81,We be Burnin’,2006
81,Blue October,82,Hate Me,2006
82,Lifehouse,83,You and Me,2006
83,The Pussycat Dolls feat. will.i.am,84,Beep,2006
84,"Dem Franchize Boyz feat. Jermaine Dupri, Da Brat and Bow Wow",85,I Think They Like Me,2006
85,Chris Brown,86,Say Goodbye,2006
86,John Mayer,87,Waiting on the World to Change,2006
87,Young Jeezy feat. Akon,88,Soul Survivor,2006
88,The Black Eyed Peas,89,Pump It,2006
89,Eminem,90,When I’m Gone,2006
90,Madonna,91,Hung Up,2006
91,Three 6 Mafia feat. Young Buck and Eightball and MJG,92,Stay Fly,2006
92,Keyshia Cole,93,Love,2006
93,Ne-Yo,94,When You’re Mad,2006
94,T.I.,95,Why You Wanna,2006
95,Pink,96,Stupid Girls,2006
96,Gorillaz,97,Feel Good Inc,2006
97,T-Pain,98,I’m Sprung,2006
98,Taylor Hicks,99,Do I Make you Proud,2006
99,Teddy Geiger,100,For You I Will (Condience),2006
0,Beyonce,1,Irreplaceable,2007
1,Rihanna feat. Jay-Z,2,Umbrella,2007
2,Gwen Stefani feat. Akon,3,The Sweet Escape,2007
3,Fergie,4,Big Girls Don’t Cry,2007
4,T-Pain feat. Yung Joc,5,Buy U A Drank (Shawty Snappin’),2007
5,Carrie Underwood,6,Before He Cheats,2007
6,Plain White T’s,7,Hey There Delilah,2007
7,Akon feat. Snoop Dogg,8,I Wanna Love You,2007
8,Nelly Furtado,9,Say It Right,2007
9,Fergie feat. Ludacris,10,Glamorous,2007
10,Akon,11,Don’t Matter,2007
11,Avril Lavigne,12,Girlfriend,2007
12,Maroon 5,13,Makes Me Wonder,2007
13,Shop Boyz,14,Party Like A Rockstar,2007
14,Akon feat. Eminem,15,Smack That,2007
15,Mims,16,This Is Why I’m Hot,2007
16,Daughtry,17,It’s Not Over,2007
17,Timbaland feat. Keri Hilson,18,The Way I Are,2007
18,Fergie,19,Fergalicious,2007
19,Soulja Boy Tell’em,20,Crank That (Soulja Boy),2007
20,Timbaland feat. Nelly Furtado & Justin Timberlake,21,Give It To Me,2007
21,Justin Timberlake,22,What Goes Around…Comes Around,2007
22,Gym Class Heroes feat. Patrick Stump,23,Cupid’s Chokehold/Breakfast In America,2007
23,The Fray,24,How To Save A Life,2007
24,Daughtry,25,Home,2007
25,Justin Timberlake feat. T.I.,26,My Love,2007
26,Kanye West,27,Stronger,2007
27,Jim Jones,28,We Fly High,2007
28,Pink,29,U + Ur Hand,2007
29,Unk,30,Walk It Out,2007
30,Sean Kingston,31,Beautiful Girls,2007
31,Fall Out Boy,32,"This Ain’t A Scene, It’s An Arms Race",2007
32,T-Pain feat. Akon,33,Bartender,2007
33,Huey,34,"Pop, Lock & Drop It",2007
34,Ludacris feat. Mary J. Blige,35,Runaway Love,2007
35,Nickelback,36,Rockstar,2007
36,Fall Out Boy,37,Thnks Fr Th Mmrs,2007
37,Linkin Park,38,What I’ve Done,2007
38,Justin Timberlake,39,Summer Love,2007
39,Lloyd feat. Lil’ Wayne,40,You,2007
40,Elliott Yamin,41,Wait For You,2007
41,Diddy feat. Keyshia Cole,42,Last Night,2007
42,Fat Joe feat. Lil Wayne,43,Make It Rain,2007
43,Fabolous feat. Ne-Yo,44,Make Me Better,2007
44,Omarion,45,Ice Box,2007
45,Hinder,46,Lips Of An Angel,2007
46,John Mayer,47,Waiting On The World To Change,2007
47,Robin Thicke,48,Lost Without U,2007
48,R. Kelly Or Bow Wow (feat. T.I. & T-Pain),49,I’m A Flirt,2007
49,Nickelback,50,If Everyone Cared,2007
50,Lloyd,51,Get It Shawty,2007
51,The Red Jumpsuit Apparatus,52,Face Down,2007
52,Baby Boy Da Prince feat. Lil Boosie,53,The Way I Live,2007
53,Bow Wow feat. Chris Brown & Johnta Austin,54,Shortie Like Mine,2007
54,The All-American Rejects,55,It Ends Tonight,2007
55,Hurricane Chris,56,A Bay Bay,2007
56,Ne-Yo,57,Because Of You,2007
57,Bone Thugs-N-Harmony feat. Akon,58,I Tried,2007
58,My Chemical Romance,59,Welcome To The Black Parade,2007
59,Plies feat. T-Pain,60,Shawty,2007
60,Snow Patrol,61,Chasing Cars,2007
61,Beyonce & Shakira,62,Beautiful Liar,2007
62,Justin Timberlake,63,Sexyback,2007
63,Avril Lavigne,64,Keep Holding On,2007
64,Keyshia Cole feat. Missy Elliott & Lil Kim,65,Let It Go,2007
65,Timbaland feat. OneRepublic,66,Apologize,2007
66,Colbie Caillat,67,Bubbly,2007
67,Ciara,68,Like A Boy,2007
68,Pink,69,Who Knew,2007
69,Kelly Clarkson,70,Never Again,2007
70,Ciara,71,Promise,2007
71,J. Holiday,72,Bed,2007
72,Rich Boy feat. Polow Da Don,73,Throw Some D’s,2007
73,Amy Winehouse,74,Rehab,2007
74,T.I.,75,Big Things Poppin’ (Do It),2007
75,Alicia Keys,76,No One,2007
76,Boys Like Girls,77,The Great Escape,2007
77,Unk,78,2 Step,2007
78,Paula DeAnda feat. The DEY,79,Walk Away (Remember Me),2007
79,Young Jeezy feat. R. Kelly,80,Go Getta,2007
